"filename", "language", "YAML", "Markdown", "JSON", "XML", "Python", "HTML", "Shell Script", "LaTeX", "CSS", "CSV", "JavaScript", "comment", "blank", "total"
"/home/tb/repos/magisim/src/tests/fd2d-test.py", "Python", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 10, 17, 78
"/home/tb/repos/magisim/src/tests/fd2d.py", "Python", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 10, 20, 102
"/home/tb/repos/magisim/src/tests/fd2d2.py", "Python", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 9, 20, 100
"/home/tb/repos/magisim/src/tests/fd3d-raw-noedit.py", "Python", 0, 0, 0, 0, 374, 0, 0, 0, 0, 0, 0, 88, 49, 511
"/home/tb/repos/magisim/src/tests/fd3d-real-plot-raw-noedit.py", "Python", 0, 0, 0, 0, 340, 0, 0, 0, 0, 0, 0, 36, 47, 423
"/home/tb/repos/magisim/src/tests/fdtd-tests-optimized.py", "Python", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 9, 18, 76
"/home/tb/repos/magisim/src/tests/fdtd-tests-refactored.py", "Python", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 16, 17, 85
"/home/tb/repos/magisim/src/tests/fdtd-tests.py", "Python", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 19, 24, 105
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/demo.py", "Python", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 18, 22, 104
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/example_extensions/my_extension.py", "Python", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 9, 36
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/extensionmagic/0a119a6d-7f36-4c6c-929b-50812d1e265b-eload.py", "Python", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/extensions/extensionmagic/0a119a6d-7f36-4c6c-929b-50812d1e265b-eload.py", "Python", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/extent.py", "Python", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 10, 15, 75
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/iface.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 43, 7, 71
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/iface2.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/loaded-exts/my-module.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 4, 20
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/loaded-exts/my2-module.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 4, 20
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/loader-test.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 10, 45
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/lt2.py", "Python", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 9, 28
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/magisim_config.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/tb/repos/magisim/src/tests/gradio-extension-loading/testzip.py", "Python", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 10, 28
"/home/tb/repos/magisim/src/tests/gradio-gui-components-test.py", "Python", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 9, 14, 71
"/home/tb/repos/magisim/src/tests/gradio-tests.py", "Python", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 3, 15, 100
"/home/tb/repos/magisim/src/tests/gradio-theming.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/tb/repos/magisim/src/tests/guitest/nodes/index.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"/home/tb/repos/magisim/src/tests/guitest/nodes/litegraph.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 573, 0, 0, 12, 96, 681
"/home/tb/repos/magisim/src/tests/guitest/nodes/litegraph.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22778, 2521, 3596, 28895
"/home/tb/repos/magisim/src/tests/nodemgr2/builtin_nodemgr_eload.py", "Python", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 4, 28
"/home/tb/repos/magisim/src/tests/nodemgr2/nodemgr.py", "Python", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 38, 8, 59
"/home/tb/repos/magisim/src/tests/plotly_live_update_test.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 9, 12, 42
"/home/tb/repos/magisim/src/tests/plotly_magisim_test.py", "Python", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 18, 23, 95
"/home/tb/repos/magisim/src/tests/qt/magisim-core-qt-gui-test-1/widget.py", "Python", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 7, 30
"/home/tb/repos/magisim/src/tests/run.py", "Python", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 8, 48
"/home/tb/repos/magisim/src/tests/sockets_test/client.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"/home/tb/repos/magisim/src/tests/sockets_test/client2.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"/home/tb/repos/magisim/src/tests/sockets_test/for_tibi/json.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"/home/tb/repos/magisim/src/tests/sockets_test/for_tibi/json.yml", "YAML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/home/tb/repos/magisim/src/tests/sockets_test/interface.py", "Python", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 12, 67
"/home/tb/repos/magisim/src/tests/sockets_test/server.py", "Python", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 14, 70
"/home/tb/repos/magisim/src/tests/sockets_test/socketClass.py", "Python", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 8, 55
"/home/tb/repos/magisim/src/ui/extensionmgr/builtin_extensionmgr_eload.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 5, 37
"/home/tb/repos/magisim/src/ui/extensionmgr/extensionmgr.py", "Python", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 63, 14, 172
"/home/tb/repos/magisim/src/ui/extensions/extension_50812d1e265b/0a119a6d-7f36-4c6c-929b-50812d1e265b-eload.py", "Python", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 8, 47
"/home/tb/repos/magisim/src/ui/extensions/extension_50812d1e265b/extensionmagic.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 8, 31
"/home/tb/repos/magisim/src/ui/extensions/extension_50812d1e265b/extensionmagic_node.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 26, 0, 33
"/home/tb/repos/magisim/src/ui/extensions/extension_61c6599e8f96/790bcb64-fc36-4cf1-97ba-61c6599e8f96-eload.py", "Python", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 5, 30
"/home/tb/repos/magisim/src/ui/extensions/extension_61c6599e8f96/visualizer.py", "Python", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 10, 29
"/home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/20e4e311-43e1-4c3f-af70-caed19de0a8b-eload.py", "Python", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 22, 19, 216
"/home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/20e4e311-43e1-4c3f-af70-caed19de0a8b-settings.py", "Python", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 7, 24
"/home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/freq.py", "Python", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 51, 10, 79
"/home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/openmsems.py", "Python", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 50, 40, 257
"/home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/requirements.yml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/home/tb/repos/magisim/src/ui/extensions/extension_d22ce158cb48/analyzer.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/tb/repos/magisim/src/ui/extensions/extension_d22ce158cb48/fc03a668-f73e-4f92-9df8-d22ce158cb48-eload.py", "Python", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 10, 45
"/home/tb/repos/magisim/src/ui/extensions/extension_d22ce158cb48/fc03a668-f73e-4f92-9df8-d22ce158cb48-settings.py", "Python", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 7, 24
"/home/tb/repos/magisim/src/ui/greeter/builtin_greeter_eload.py", "Python", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"/home/tb/repos/magisim/src/ui/greeter/external/docs.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 4, 29
"/home/tb/repos/magisim/src/ui/greeter/greeter.py", "Python", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 16, 10, 73
"/home/tb/repos/magisim/src/ui/nodemgr/builtin_nodemgr_eload.py", "Python", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 6, 36
"/home/tb/repos/magisim/src/ui/nodemgr/nodemgr.py", "Python", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 55, 23, 119
"/home/tb/repos/magisim/src/ui/nodemgr/nodes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/tb/repos/magisim/src/ui/nodemgr/static/css/litegraph.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 573, 0, 0, 12, 96, 681
"/home/tb/repos/magisim/src/ui/nodemgr/static/js/example-req.json", "JSON", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179
"/home/tb/repos/magisim/src/ui/nodemgr/static/js/litegraph.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22789, 2529, 3599, 28917
"/home/tb/repos/magisim/src/ui/settingsmgr/builtin_settingsmg_eload.py", "Python", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 4, 26
"/home/tb/repos/magisim/src/ui/settingsmgr/settingsmgr.py", "Python", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 4, 23
"/home/tb/repos/magisim/src/ui/shapeloader/builtin_shapeloader_eload.py", "Python", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 8, 48
"/home/tb/repos/magisim/src/ui/shapeloader/builtin_shapeloader_settings.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/tb/repos/magisim/src/ui/shapeloader/nodes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 9, 3, 31
"/home/tb/repos/magisim/src/ui/shapeloader/shapeloader-none.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 9, 25
"/home/tb/repos/magisim/src/ui/shapeloader/shapeloader.py", "Python", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 14, 20, 89
"/home/tb/repos/magisim/src/ui/shapeloader/test.py", "Python", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 6, 38
"/home/tb/repos/magisim/src/ui/shared/builtin.py", "Python", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 5, 25
"/home/tb/repos/magisim/src/ui/shared/config.py", "Python", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 9, 56
"/home/tb/repos/magisim/src/ui/shared/crashhandler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/tb/repos/magisim/src/ui/shared/exreq.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"/home/tb/repos/magisim/src/ui/shared/globalcss.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/home/tb/repos/magisim/src/ui/shared/item.py", "Python", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/tb/repos/magisim/src/ui/shared/logger.py", "Python", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 5, 23
"/home/tb/repos/magisim/src/ui/shared/project.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 12, 3, 21
"/home/tb/repos/magisim/src/ui/shared/projectmanager.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/home/tb/repos/magisim/src/ui/shared/router.py", "Python", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 36, 21, 137
"/home/tb/repos/magisim/src/ui/shared/settings/builtins_extensionmgr_settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/tb/repos/magisim/src/ui/shared/settings/builtins_settingsmgr_settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/tb/repos/magisim/src/ui/shared/settings/runtime.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/tb/repos/magisim/src/ui/shared/testreq.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"/home/tb/repos/magisim/src/ui/start.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 2, 8
"/home/tb/repos/magisim/src/ui/themebuilder.py", "Python", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/tb/repos/magisim/src/ui/ui.py", "Python", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 139, 31, 240
"/home/tb/repos/magisim/src/ui/ui_load.py", "Python", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 28, 24, 121
"Total", "-", 341, 274, 1629, 715899, 4285, 22, 15, 129, 1154, 16, 45586, 6393, 8865, 784608